PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=318 ttl=54 time=28.4 ms
64 bytes from 8.8.8.8: icmp_seq=319 ttl=54 time=55.5 ms
64 bytes from 8.8.8.8: icmp_seq=320 ttl=54 time=28.0 ms
64 bytes from 8.8.8.8: icmp_seq=321 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=322 ttl=54 time=36.7 ms
64 bytes from 8.8.8.8: icmp_seq=323 ttl=54 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=324 ttl=54 time=34.7 ms
64 bytes from 8.8.8.8: icmp_seq=325 ttl=54 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=326 ttl=54 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=327 ttl=54 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=328 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=329 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=330 ttl=54 time=16.2 ms
64 bytes from 8.8.8.8: icmp_seq=331 ttl=54 time=20.3 ms
64 bytes from 8.8.8.8: icmp_seq=332 ttl=54 time=29.6 ms
64 bytes from 8.8.8.8: icmp_seq=333 ttl=54 time=28.8 ms
64 bytes from 8.8.8.8: icmp_seq=334 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=335 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=336 ttl=54 time=16.8 ms
64 bytes from 8.8.8.8: icmp_seq=337 ttl=54 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=338 ttl=54 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=339 ttl=54 time=52.7 ms
64 bytes from 8.8.8.8: icmp_seq=340 ttl=54 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=341 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=342 ttl=54 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=343 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=344 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=345 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=346 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=347 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=348 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=349 ttl=54 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=350 ttl=54 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=351 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=352 ttl=54 time=42.7 ms
64 bytes from 8.8.8.8: icmp_seq=353 ttl=54 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=354 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=355 ttl=54 time=29.7 ms
